placekey,location_name,brands,latitude,longitude,category_tags,opened_on,closed_on
zzw-224@8g6-y3p-b6k,Marlow's Tavern,Marlow's Tavern,34.022941,-84.251834,"American Food,Bar or Pub,Casual Dining,Dinner,Drinks,Lunch",,
223-222@8g6-x6r-cnq,Sodere Ethiopian Sports Cafe & Restaurant,,33.786413,-84.230789,"Bar or Pub,Cafe,Ethiopian Food,Late Night,Sports Bar",,
zzy-223@8g7-476-ygk,Stilettos Gentlemens Club,,33.774103,-84.405997,"Bar or Pub,Cocktail Lounge,Late Night",,2020-07
22c-222@8gb-n3w-ct9,Sharky's Sports Grill,,34.615556,-83.525964,"Bar or Pub,Late Night,Sports Bar",,2020-01
zzw-222@8gj-g77-8qf,Sandtrap Club and Restaurant,,31.554213,-84.136038,"Bar or Pub,Late Night",,
22f-222@8g6-ytb-j7q,Rana,,33.960203,-84.131439,"Bar or Pub,Cocktail Lounge,Late Night",,
zzy-22s@8gd-q62-jsq,Nickies1971,,31.992774,-80.849398,"Bar or Pub,Karaoke,Late Night,Sports Bar",,
22d-222@8gd-q2n-jd9,Artillery,,32.074462,-81.093937,"Bar or Pub,Cocktail Lounge,Late Night",,
zzw-227@8g7-475-x5z,Level V Atlanta,,33.811859,-84.39352,"Bar or Pub,Cocktail Lounge,Late Night",,
223-222@8gj-g7q-6rk,Mel's Bar,,31.576521,-84.184585,"Bar or Pub,Late Night",,2020-01
zzw-225@8g7-njj-33q,Sake Mama,,33.958063,-83.376148,"Bar or Pub,Late Night",,
224-222@8g7-3z3-h5z,Jr's Lounge,,33.760572,-84.505356,"Bar or Pub,Cocktail Lounge,Late Night",,
225-222@8g8-7q5-v75,Shanty Shack,,32.522262,-84.91768,"Bar or Pub,Late Night,Sports Bar",,2020-01
zzw-222@8g7-84m-87q,Robbie's Sports Bar,,33.509422,-82.032778,"Late Night,Pool and Billiards",,2020-02
224-222@8gd-q2q-c5z,SEED Eco Lounge,,32.08055,-81.096289,"Bar or Pub,Cocktail Lounge,Late Night",,2020-01
222-223@8g6-yjj-8jv,Sol Lounge,,33.865016,-84.30505,"Bar or Pub,Cocktail Lounge,Late Night",,2022-12
zzy-222@8gd-q26-ct9,Kiosk Bar,,32.135693,-81.209678,"Bar or Pub,Cocktail Lounge,Late Night",,
zzw-222@8g7-3dz-fvf,Tara Billiards,,33.492616,-84.339243,"Late Night,Pool and Billiards",,2020-01
22c-223@8gd-q7b-92k,Cocoa's Dessert Martini Bar,,32.013838,-80.985981,"Bar or Pub,Late Night",,2020-01
zzw-224@8gm-g9h-vvf,Boss Cigars,,33.564437,-85.076347,"Bar or Pub,Cigars,Late Night",,
222-223@8gd-pwy-mtv,Doubles Night Club,,32.011235,-81.112851,"Dance Club,Late Night",,2021-10
24j-222@8g7-47b-gtv,The Living Room at the W Downtown,,33.765128,-84.389209,"Bar or Pub,Cocktail Lounge,Late Night",,
227-222@8g7-3nn-f2k,Nic & Norman's,,33.300527,-84.554546,"Bar or Pub,Burgers,Cocktail Lounge,Dessert,Late Night",,
zzw-222@8gj-g6r-z75,The Cask and Kilt,,31.614993,-84.219351,"Bar or Pub,Late Night",,2020-01
222-222@8g7-48t-9zz,Peaches Of Atlanta,,33.738427,-84.413177,"Adult Entertainment,Late Night",,
22g-224@8g7-474-hnq,Tap,,33.786944,-84.383528,"American Food,Bar or Pub,Late Night,Sandwich Shop",,
222-223@8g7-46m-h89,SkyLounge,,33.757067,-84.393076,"Bar or Pub,Cocktail Lounge,Late Night",,
223-222@8g7-njg-9vf,Magnolias Bar of Athens,,33.957615,-83.374062,"Bar or Pub,Cocktail Lounge,Late Night",,
22q-222@8gj-6tt-d5f,The Bleu Cafe,,30.831605,-83.278971,"Bar or Pub,Cafe,Cocktail Lounge,Late Night",,2021-10
222-224@8g7-479-zs5,Lobby Bar,,33.776381,-84.389271,"Bar or Pub,Cocktail Lounge,Late Night,Wine Bar",,
224-223@8g8-7mw-8y9,Soho Bar & Grill,,32.523478,-84.888769,"Bar or Pub,Late Night,Music Venue",,
222-222@8g7-48k-3dv,Pyramids Lounge BAR,,33.679173,-84.440577,"Bar or Pub,Cocktail Lounge,Hookah,Late Night",,
zzy-222@8g7-37q-4vz,Groovy Blues,,33.424627,-84.182969,"Bar or Pub,Cigars,Late Night",,
223-222@8g7-46w-wx5,Driftwood Drive In,,33.711798,-84.350034,"Bar or Pub,Late Night,Sports Bar",,2022-12
223-222@8g7-4pp-rhq,Nouveau Bar & Grill,,33.65238,-84.449821,"Bar or Pub,Cocktail Lounge,Karaoke,Late Night",,
zzw-222@8g8-d7d-7dv,St Somewhere Chill and Grill Company,,32.108671,-82.121064,"Bar or Pub,Late Night",,
zzw-222@8gb-262-2rk,Dalton Golf & Country Club,,34.804293,-84.953885,,,
23s-222@8g7-njn-dd9,Boar's Head Lounge,,33.959145,-83.374971,"Bar or Pub,Cocktail Lounge,Dive Bar,Late Night",,
222-222@8gj-g7s-8y9,Big Daddy's Lounge & Club,,31.5764,-84.142101,Late Night,,
222-222@8g7-bgd-8gk,Rack & Grill II,,33.360261,-81.990685,"Bar or Pub,Late Night,Pool and Billiards,Sports Bar",,
224-222@8g7-47y-6hq,Brew and Bird,,33.792245,-84.304978,"Bar or Pub,Chicken Wings,Late Night",,
zzw-222@8g6-y3b-hnq,Wake Me Up Wine Me Down,,34.066566,-84.306771,"Bar or Pub,Cigars,Hookah,Late Night,Wine Bar",,2023-01
22k-222@8g7-474-dn5,Mixx Atlanta,,33.795887,-84.370968,"Bar or Pub,Cocktail Lounge,Late Night",,
223-222@8g6-ymt-6rk,Naughty's Emporium,,33.853502,-84.316185,Late Night,,2020-01
222-223@8g6-y4q-7yv,Gypsy Rose,,34.024904,-84.360833,"Bar or Pub,Cocktail Lounge,Late Night,Music Venue,Truck or Cart",,2021-10
223-222@8g6-qcr-kxq,The Stadium Bar and Grill,,32.935794,-82.811124,"Bar or Pub,Late Night,Sports Bar",,2020-01
zzy-22b@8g7-47b-k9f,Red Phone Booth,,33.759567,-84.386903,"Bar or Pub,Cigars,Cocktail Lounge,Late Night",,
zzy-223@8gb-p6x-q75,Grapes & Beans,,34.878103,-83.400195,"American Food,Bar or Pub,Coffee Shop,Late Night,Wine Bar",,
222-222@8g7-2r7-ghq,Pat's Tavern,,33.960476,-83.719572,Late Night,,2020-01
zzw-223@8g7-479-qzz,The Marquee Club,,33.772744,-84.385168,"Bar or Pub,Cocktail Lounge,Late Night",,
zzw-223@8g6-x94-6c5,Thinking Man Tavern,,33.767875,-84.30455,"Bar or Pub,Late Night",,
zzw-222@8gb-54n-rrk,The Foundry Growler Bar,,34.257953,-85.173581,"Bar or Pub,Brewing Supplies,Late Night,Wine Bar",,
22b-222@8g6-t89-3nq,The Mill Macon,,32.835398,-83.626135,"Bar or Pub,Dance Club,Late Night",,2021-10
222-222@8gj-gh8-nbk,The Ozone Lounge,,31.58562,-84.081344,"Bar or Pub,Cocktail Lounge,Late Night",,2021-11
227-223@8gd-q2q-8qf,Liquid,,32.082797,-81.094455,"Dance Club,Late Night",,2021-10
222-223@8g7-46n-8d9,Magic City Kitchen,,33.74825,-84.397302,"Adult Entertainment,American Food,BBQ and Southern Food,Late Night,Seafood",,
zzw-225@8gd-qbh-yqf,The Parlor,,32.043177,-81.071626,"Bar or Pub,Late Night",,
zzw-223@8gd-q2n-kvf,VICE Lounge Mojito Bar,,32.079117,-81.093653,"Bar or Pub,Dance Club,Late Night",,
zzw-223@8g8-4h9-qpv,Robins Package,,32.598961,-83.670988,"Bar or Pub,Cigars,Late Night",,
zzw-224@8g6-ysk-6c5,Gang Nam Karaoke,,33.975528,-84.158184,"Bar or Pub,Karaoke,Late Night",,
223-222@8g6-yk6-psq,Mr Cue's Billiards II,,33.884389,-84.248375,"Bar or Pub,Late Night,Pool and Billiards",,
224-222@8g7-475-x5z,Elleven45 Lounge,,33.812104,-84.392668,"Bar or Pub,Cocktail Lounge,Hookah,Late Night,Tapas",,
zzy-222@8gq-3j4-wrk,The Bloody Bucket Bar,,30.837399,-81.563353,"Bar or Pub,Late Night",,
zzw-229@8g7-46z-6p9,14th Street Bar,,33.785883,-84.388029,"Bar or Pub,Late Night,Wine Bar",,
zzw-222@8g7-bfw-k4v,Bar 111,,33.478043,-81.974548,"Bar or Pub,Late Night",,
227-222@8gd-q2v-mhq,Starland Yard,,32.054518,-81.10196,"Beer Garden,Late Night,Pizza,Truck or Cart",,
223-222@8g8-5vw-xbk,D's Rabbit Box,,32.92215,-84.333241,"Bar or Pub,Dive Bar,Late Night",,2020-01
223-223@8g8-4h8-kfz,Game On Sports Cafe,,32.61502,-83.698881,"Bar or Pub,Late Night,Sports Bar",,
zzw-223@8g6-ymg-jy9,Paradise Lounge,,33.891211,-84.381717,"Bar or Pub,Cocktail Lounge,Hookah,Late Night",,
zzw-223@8g6-x98-3wk,The Cigar Bar,,33.713031,-84.167307,"Bar or Pub,Hookah,Late Night,Tapas",,
224-222@8gd-q2w-b6k,The Florence,,32.052328,-81.103767,"Bar or Pub,Cocktail Lounge,Coffee Shop,Italian Food,Late Night",,2020-07
222-224@8g7-njn-k2k,The Foundry,,33.963733,-83.374613,"American Food,Bar or Pub,Late Night,Music Venue",,
zzw-222@8g6-ykt-33q,Gib's Restaurant Martini Bar & Lounge,,33.908844,-84.265386,"Bar or Pub,Cocktail Lounge,Jazz and Blues,Late Night,Music Venue,Sushi",,
zzw-224@8g7-485-49z,Miracle on Monroe,,33.778876,-84.367161,"Bar or Pub,Cocktail Lounge,Late Night",,2022-08
zzw-227@8g6-ykk-v75,L T Magoos's Bar & Grill,,33.941922,-84.269684,Late Night,,
zzw-222@8g6-ys3-575,Viva Billiard Cafe,,33.90778,-84.155304,"Late Night,Pool and Billiards",,
226-223@8g7-4cj-2x5,Taps At Ph'east,,33.887238,-84.470736,"Bar or Pub,Cocktail Lounge,Late Night",,
222-222@8gb-prw-q2k,Smiley's Tavern,,34.53444,-83.974514,"Bar or Pub,Late Night,Sports Bar",,2020-01
224-222@8g6-yps-mff,Morgan Falls Billiards,,33.972198,-84.357457,"Late Night,Pool and Billiards",,
zzw-223@8g7-njn-dd9,Moonshine Bar,,33.958891,-83.37487,"Bar or Pub,Dive Bar,Late Night",,
228-222@8gd-q2q-btv,Tree House,,32.080753,-81.095423,"Bar or Pub,Late Night,Music Venue",,
zzy-222@8gb-kzd-28v,Nottely Lakeside,,34.906209,-84.080968,"Late Night,Pool and Billiards",,
226-222@8g6-y56-7t9,Colony Club,,33.991954,-84.267197,Late Night,,
222-223@8g7-475-x5z,Smoke City Atl,,33.811904,-84.393353,"Bar or Pub,Hookah,Late Night",,
zzw-222@8g6-yvs-yy9,Will Henry's Tavern,,33.841667,-84.131088,"Bar or Pub,Late Night",,
222-222@8g7-472-mzf,Tiffanys,,33.801801,-84.407168,Late Night,,
227-222@8gb-qhg-v2k,Treo Blue Ridge,,34.866957,-84.323253,"American Food,Bar or Pub,Late Night,Wine Bar",,2021-10
zzw-223@8g7-46m-wx5,224 Cafe,,33.755686,-84.379339,"African Food,Bar or Pub,Cafe,Cocktail Lounge,Late Night",,
222-222@8g6-yjh-wtv,Follies,,33.861961,-84.306612,"Adult Entertainment,Late Night",,2021-11
222-222@8gj-6tq-3dv,Maria's Restaurant & Lounge,,30.8599,-83.255925,"Bar or Pub,Cocktail Lounge,Late Night",,2020-01
zzw-223@8gn-jch-p7q,CIRCA Craft Cocktails Lounge,,32.463082,-84.994282,"Bar or Pub,Cocktail Lounge,Late Night",,
225-222@8g7-nmr-nkf,The Office Lounge,,33.972475,-83.416279,"Bar or Pub,Cocktail Lounge,Late Night",,2020-01
zzw-222@8g7-4qy-789,50 Yard Line Sports Bar & Grill,,33.55345,-84.465328,"Bar or Pub,Late Night,Sports Bar",,
225-222@8g7-84x-k75,Surrey Tavern,,33.486365,-82.030873,"Bar or Pub,Late Night",,2020-01
222-222@8gm-jr5-wc5,Chalk It Up Billiards,,33.029342,-85.069984,"Late Night,Pool and Billiards",,2022-05
226-222@8g6-ymy-qxq,Maggie's Neighborhood Bar & Grill,,33.814717,-84.312233,"Bar or Pub,Late Night",,
223-223@8gd-h53-swk,Doodles Billiards,,32.270042,-81.224035,"Bar or Pub,Chicken Wings,Late Night,Pool and Billiards",,
zzw-222@8g7-86j-fzz,Club Velvet,,33.444877,-82.092655,"Bar or Pub,Dance Club,Late Night",,
22f-222@8gb-7gv-3t9,SuBourbon Bar & Social Club,,34.019833,-84.61337,"Bar or Pub,Cocktail Lounge,Late Night,Music Venue,Seafood",,
222-222@8g6-ytb-j5f,Han Shin Pocha,,33.959617,-84.130301,"Fine Dining,Karaoke,Korean Food,Late Night",,
