placekey,customer_race_entropy,customer_bar_mhi_mean,customer_weighted_var
zzy-223@8g7-37t-nbk,1.2676244205273797,57420.333333333336,41158510.88888889
22c-222@8g6-yvg-3kf,1.3524941085329143,75855.96842105263,1159568124.241108
222-222@8gb-7gv-3qz,1.0048328536319067,83425.75,554219825.6875
222-222@8g7-484-hqz,1.3707569644498614,84299.0,1235665162.8
224-222@8gb-px9-8n5,0.7756131270858033,102196.96470588235,535086819.13993084
226-223@8g7-479-xwk,1.2207045237435137,58702.82258064516,719209609.774974
22n-222@8g7-46n-vzz,1.152428878571341,60140.16788321168,517377920.57765466
225-222@8g7-474-5cq,0.5831323287175088,125375.0,0.0
22b-222@8g6-xmy-7yv,1.0574084111464763,74065.46666666666,579605159.3155556
222-222@8g6-ym8-dgk,1.3109744169828046,62561.61967213115,671181208.8914163
223-223@8g6-ytk-n89,1.3874417354441597,89825.84955752212,843024387.9508185
223-222@8g6-ykz-q4v,1.5086577374308618,62195.132352941175,337656584.2618945
zzw-225@8g7-46n-cnq,1.2837423809889388,64935.066666666666,862404331.1288888
zzw-222@8g7-47b-g8v,1.3221805088691898,70384.2602739726,1144630697.3295176
zzw-223@8g6-y3h-z2k,1.2313273128861217,128809.67567567568,178552617.89481372
222-222@8g6-ykz-9mk,1.2715313187244282,101390.0,2957560274.6666665
222-223@8g6-yjj-8jv,1.409961311939989,78136.25925925926,1163062142.8494513
222-225@8g7-484-hqz,0.7658505523011496,80220.5,59036172.25
225-222@8g6-y4q-8d9,0.9137292968991149,129803.70731707317,1663036410.5972633
223-222@8g7-478-p7q,1.192624933758045,54666.42065491184,452774045.61901927
287-222@8g7-46n-8vz,1.2579435742224438,62501.833333333336,790330728.3937907
zzw-224@8g6-ym3-x89,1.362119227188081,80794.16483516483,1870235374.9288728
zzw-222@8g7-2f8-xt9,0.8094332432119373,97047.07352941176,584115863.5092993
zzw-222@8g6-ykz-9zz,1.2177300233412367,87653.97023809524,1729738804.5764952
223-223@8g7-4hr-m6k,1.1882869129194422,59700.53333333333,340410583.4488889
zzw-222@8g7-47m-789,1.208396314156486,65460.53333333333,780339547.1822222
222-222@8gb-76v-xh5,0.8390657603312489,69356.33333333333,339089451.65432096
222-222@8g7-3yp-c5z,0.8475289767771431,49058.11504424779,198211226.93366748
228-222@8g6-yk5-2tv,1.6837098007551647,52301.0,81862760.0
223-222@8g7-46z-2zf,1.399845554312204,66636.42,588999364.3236
zzw-224@8g6-ykp-yy9,1.1980058625275807,74729.11111111111,887585371.4320989
227-223@8g7-474-p9z,1.2527200461648258,81227.55555555556,20366104.691358022
222-223@8g7-47b-mkz,1.1761053932026113,59228.305220883536,864201753.8345509
